PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_COUNT,YEARS_PLAYED,PTS_Z,REB_Z,AST_Z,BLK_Z,STL_Z
1631260,AJ Green,1610612749,MIL,26.0,78,31,47,0.397,29.1,3.4,7.9,0.424,3.0,7.1,0.419,0.7,0.8,0.855,2.7,1.9,1.0,0.5,0.1,14,179,81,10.4,-148,1,4,-0.65,-0.97,-0.71,-1.03,-1.3
203932,Aaron Gordon,1610612743,DEN,30.0,36,27,9,0.75,27.9,5.5,11.1,0.497,1.7,4.4,0.389,3.5,4.5,0.767,5.8,2.7,1.1,0.6,0.3,14,62,121,16.2,272,1,12,0.36,0.43,-0.27,-0.55,-1.01
1630174,Aaron Nesmith,1610612754,IND,26.0,45,10,35,0.222,29.7,4.7,11.4,0.414,2.3,6.2,0.379,2.0,2.5,0.829,4.2,1.9,1.4,0.6,0.5,36,124,115,13.8,-201,1,6,-0.06,-0.29,-0.71,-0.07,-1.01
1630598,Aaron Wiggins,1610612760,OKC,27.0,65,50,15,0.769,21.8,3.6,8.2,0.431,1.5,4.2,0.356,0.8,1.1,0.736,3.1,1.7,1.2,0.9,0.4,28,83,58,9.4,178,1,5,-0.82,-0.79,-0.81,-0.31,-0.11
1642846,Ace Bailey,1610612762,UTA,19.0,72,19,53,0.264,27.6,5.5,12.4,0.443,1.9,5.5,0.344,0.9,1.2,0.75,4.2,1.8,1.5,0.8,0.7,29,193,85,13.8,-448,1,1,-0.06,-0.29,-0.76,0.4,-0.41
1642349,Ajay Mitchell,1610612760,OKC,23.0,57,50,7,0.877,25.8,5.0,10.4,0.485,1.1,3.1,0.347,2.5,2.8,0.87,3.3,3.6,1.4,1.2,0.3,26,119,149,13.6,502,1,2,-0.09,-0.7,0.21,-0.55,0.79
201143,Al Horford,1610612744,GSW,40.0,45,22,23,0.489,21.5,3.1,7.2,0.426,1.6,4.6,0.361,0.5,0.6,0.846,4.9,2.6,0.9,0.7,1.1,7,51,21,8.3,-9,1,19,-1.02,0.02,-0.33,1.36,-0.71
1642259,Alex Sarr,1610612764,WAS,21.0,48,11,37,0.229,27.2,6.6,13.7,0.482,1.0,3.1,0.333,2.1,3.0,0.692,7.4,2.7,1.7,0.8,2.0,60,105,125,16.3,-351,1,2,0.38,1.16,-0.27,3.5,-0.41
1630578,Alperen Sengun,1610612745,HOU,23.0,72,46,26,0.639,33.3,8.1,15.6,0.519,0.6,1.8,0.305,3.6,5.2,0.691,8.9,6.2,3.2,1.2,1.1,64,238,366,20.4,205,1,5,1.09,1.84,1.61,1.36,0.79
1641708,Amen Thompson,1610612745,HOU,23.0,79,49,30,0.62,37.4,7.1,13.2,0.534,0.3,1.5,0.216,3.8,4.9,0.779,7.8,5.3,2.4,1.5,0.6,68,175,294,18.3,368,1,3,0.73,1.34,1.13,0.16,1.69
1629614,Andrew Nembhard,1610612754,IND,26.0,57,13,44,0.228,31.3,5.8,13.2,0.442,1.9,5.2,0.361,3.4,4.1,0.825,2.8,7.7,2.4,0.9,0.1,38,126,188,16.9,-393,1,4,0.48,-0.93,2.42,-1.03,-0.11
203952,Andrew Wiggins,1610612748,MIA,31.0,68,35,33,0.515,30.3,5.7,12.1,0.475,2.0,4.9,0.414,1.9,2.4,0.784,4.8,2.7,1.5,1.1,1.0,41,156,126,15.4,9,1,12,0.22,-0.02,-0.27,1.12,0.49
1629014,Anfernee Simons,1610612741,CHI,27.0,55,31,24,0.564,24.9,5.2,11.8,0.44,2.7,6.9,0.385,1.3,1.4,0.896,2.5,2.4,1.2,0.5,0.1,28,94,61,14.3,98,2,8,0.03,-1.07,-0.44,-1.03,-1.3
1641710,Anthony Black,1610612753,ORL,22.0,64,36,28,0.563,29.8,5.4,12.1,0.447,1.6,4.7,0.333,2.6,3.6,0.732,3.8,3.7,2.1,1.4,0.7,54,170,187,15.0,-14,1,3,0.15,-0.48,0.27,0.4,1.39
1630162,Anthony Edwards,1610612750,MIN,24.0,61,37,24,0.607,35.0,9.9,20.2,0.489,3.4,8.4,0.399,5.7,7.2,0.796,5.0,3.7,2.9,1.4,0.8,29,118,272,28.8,162,1,6,2.55,0.07,0.27,0.64,1.39
1641709,Ausar Thompson,1610612765,DET,23.0,73,53,20,0.726,26.0,4.2,7.9,0.525,0.1,0.3,0.25,1.5,2.6,0.571,5.7,3.1,1.5,2.0,0.9,42,198,153,9.9,397,1,3,-0.74,0.38,-0.06,0.88,3.18
1630559,Austin Reaves,1610612747,LAL,28.0,51,36,15,0.706,34.5,7.3,14.9,0.49,2.3,6.4,0.36,6.3,7.3,0.871,4.7,5.5,3.0,1.1,0.4,37,110,273,23.3,182,1,5,1.6,-0.07,1.24,-0.31,0.49
1630245,Ayo Dosunmu,1610612750,MIN,26.0,69,36,33,0.522,27.3,5.6,10.8,0.517,1.8,4.1,0.439,1.8,2.1,0.876,3.4,3.6,1.4,0.8,0.3,58,130,102,14.8,-67,2,5,0.12,-0.66,0.21,-0.55,-0.41
1628389,Bam Adebayo,1610612748,MIA,28.0,73,37,36,0.507,32.4,6.9,15.7,0.442,1.7,5.5,0.318,4.5,5.8,0.778,10.0,3.2,1.6,1.2,0.7,37,122,337,20.1,331,1,9,1.04,2.33,-0.0,0.4,0.79
1642879,Ben Saraf,1610612751,BKN,20.0,44,10,34,0.227,20.8,2.7,6.9,0.396,0.4,2.0,0.211,1.7,2.0,0.83,2.1,3.3,2.2,0.9,0.2,48,81,70,7.5,-237,1,1,-1.15,-1.25,0.05,-0.79,-0.11
1641767,Ben Sheppard,1610612754,IND,24.0,65,16,49,0.246,21.4,2.6,6.0,0.434,1.3,3.6,0.362,0.6,0.8,0.765,3.0,1.8,0.6,0.6,0.1,25,114,44,7.1,-268,1,3,-1.22,-0.84,-0.76,-1.03,-1.01
